epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4984.28,2.84341,3.17569,1.90533,0.29847,0.25991,0.20112,0.12335,2.27199,3.06766,1.61168,0.00121679,0.00121679,0.00121679
92,5039.28,2.7274,3.24402,1.96055,0.28924,0.22068,0.17984,0.11508,2.33003,3.21221,1.60982,0.00121444,0.00121444,0.00121444
93,5093.9,2.62977,3.31481,1.89766,0.27212,0.25766,0.19226,0.12079,2.27184,3.50261,1.62675,0.00121208,0.00121208,0.00121208
94,5148.77,2.73421,3.16942,1.9588,0.61265,0.24839,0.19152,0.11449,2.32915,3.21331,1.62907,0.00120972,0.00120972,0.00120972
95,5204.22,2.77762,3.41782,1.97652,0.24935,0.23713,0.15807,0.09755,2.42719,3.37532,1.67231,0.00120736,0.00120736,0.00120736
96,5259.26,2.85369,3.32745,1.98681,0.26183,0.2787,0.1874,0.11053,2.37574,3.62928,1.64867,0.001205,0.001205,0.001205
97,5313.77,2.78157,3.21019,1.92877,0.26557,0.26268,0.19435,0.11644,2.40052,3.41539,1.6337,0.00120265,0.00120265,0.00120265
98,5367.55,2.69534,3.25352,1.84132,0.59847,0.26441,0.19499,0.12107,2.54539,3.77939,1.64934,0.00120029,0.00120029,0.00120029
99,5422.95,2.74525,2.89294,1.95136,0.30326,0.23916,0.19955,0.12014,2.43813,4.46723,1.65587,0.00119793,0.00119793,0.00119793
100,5478.16,2.85318,3.26854,1.95246,0.26961,0.23861,0.19474,0.11738,2.36482,3.28885,1.63749,0.00119557,0.00119557,0.00119557
101,5532.8,2.79897,3.2111,1.93108,0.24324,0.24511,0.19781,0.12125,2.37061,3.54517,1.64294,0.00119322,0.00119322,0.00119322
102,5586.99,2.65106,3.16463,1.88703,0.59326,0.23861,0.18251,0.11219,2.43698,3.85126,1.66684,0.00119086,0.00119086,0.00119086
103,5641.9,2.78114,3.29246,1.91752,0.24779,0.25888,0.18855,0.11378,2.41854,3.58779,1.67228,0.0011885,0.0011885,0.0011885
